iter	RMSE
0	0.4208298301
1	0.4089301379
2	0.3980765677
3	0.3869599266
4	0.3762556771
5	0.3655019201
6	0.3569474388
7	0.3496770551
8	0.340337184
9	0.3333762144
10	0.3256137506
11	0.3196539446
12	0.3129980755
13	0.3070480438
14	0.3020383973
15	0.2956718987
16	0.2919639586
17	0.2868947326
18	0.2835843139
19	0.2794011672
20	0.2757523452
21	0.2733986487
22	0.2697145438
23	0.2669775011
24	0.2648995234
25	0.2604808888
26	0.2569711908
27	0.2531487255
28	0.2500249443
29	0.2464532455
30	0.2439657355
31	0.2402378183
32	0.2385894072
33	0.2374707421
34	0.2338014487
35	0.2325059075
36	0.2307799559
37	0.2280421822
38	0.2263365562
39	0.225640662
40	0.2236490518
41	0.2225168808
42	0.2204959973
43	0.2195445021
44	0.2190765444
45	0.2163015864
46	0.2134906632
47	0.2123697099
48	0.212027249
49	0.2105252827
50	0.2094050149
51	0.2071711392
52	0.2062673837
53	0.2053933672
54	0.2041823792
55	0.2026110565
56	0.2011956915
57	0.2006016184
58	0.1995909448
59	0.1989173764
60	0.1976277196
61	0.1966952118
62	0.1960830776
63	0.1938290115
64	0.1931525036
65	0.1913876301
66	0.1907553883
67	0.1888458058
68	0.1883275639
69	0.1865638252
70	0.184847813
71	0.1829415849
72	0.1816571453
73	0.1810910063
74	0.1802702603
75	0.1787300711
76	0.1776672619
77	0.1765320633
78	0.1754289576
79	0.1744320849
80	0.1737667619
81	0.1729962574
82	0.1727236711
83	0.1722573031
84	0.1713257063
85	0.1702902899
86	0.1695152869
87	0.16801551
88	0.1670941816
89	0.165846828
90	0.1645702077
91	0.1640733702
92	0.1636681149
93	0.1625368349
94	0.1617101604
95	0.161197361
96	0.1604871963
97	0.1597296322
98	0.1587773931
99	0.1584212316
100	0.1576540162
101	0.1568314116
102	0.1561267293
103	0.1553725094
104	0.1544177473
105	0.1536812178
106	0.1530004099
107	0.1526649671
108	0.1517846633
109	0.1509480423
110	0.1505199101
111	0.1501134646
112	0.1496607511
113	0.1489527246
114	0.1481083344
115	0.1470691054
116	0.1463381719
117	0.1455051399
118	0.145208594
119	0.1441250131
120	0.1437121008
121	0.1433034114
122	0.1430177279
123	0.1423741526
124	0.1420627509
125	0.1417216171
126	0.1414820538
127	0.1407030189
128	0.1395057346
129	0.1387743735
130	0.1381372595
131	0.137595278
132	0.1369507636
133	0.1360830542
134	0.1355067892
135	0.1348614612
136	0.1342544463
137	0.1340201869
138	0.1337978487
139	0.1332639353
140	0.1327270355
141	0.132177576
142	0.1315789164
143	0.1308759477
144	0.1304983054
145	0.1301435167
146	0.1297486149
147	0.1292241551
148	0.1285140582
149	0.1278426765
150	0.1273818752
151	0.1273137286
152	0.1265102965
153	0.1262580209
154	0.1258214628
155	0.1254537397
156	0.1246685241
157	0.1242275452
158	0.1240615146
159	0.1236541042
160	0.1232908652
161	0.1229010928
162	0.1225492478
163	0.1221793203
164	0.1218236648
165	0.1215974497
166	0.1214215292
167	0.1210371652
168	0.1206482174
169	0.1200451638
170	0.1196373545
171	0.1193405605
172	0.1192303912
173	0.1187142139
174	0.1183694681
175	0.1180424285
176	0.1177755216
177	0.1174652942
178	0.1173352217
179	0.1168860126
180	0.116557068
181	0.1164704521
182	0.1160947162
183	0.1158143919
184	0.115456174
185	0.1153973554
186	0.1150185028
187	0.1145826994
188	0.1143426668
189	0.1140076596
190	0.1138610862
191	0.1137150796
192	0.1133414997
193	0.1129718625
194	0.1128999671
195	0.1123599962
196	0.1121778175
197	0.1119528424
198	0.1115769162
199	0.1109722227
200	0.1106827906
201	0.1103031469
202	0.1100125669
203	0.1097202874
204	0.1095196486
205	0.1093446903
206	0.1090377059
207	0.1087953646
208	0.1087588116
209	0.1086809652
210	0.1081893095
211	0.1077725016
212	0.1075078917
213	0.1072984071
214	0.1072547148
215	0.1072309739
216	0.1069142945
217	0.1068815651
218	0.1068500921
219	0.1065708611
220	0.106130654
221	0.1059824882
222	0.1055024617
223	0.1051805876
224	0.1048381471
225	0.1044520341
226	0.1044188662
227	0.104373626
228	0.1040454258
229	0.1037776696
230	0.1034573992
231	0.1034205665
232	0.1033174989
233	0.1029692491
234	0.1028066098
235	0.1025524148
236	0.1025157168
237	0.1021120288
238	0.1016379648
239	0.1013925
240	0.1009974415
241	0.1007532366
242	0.100482921
243	0.1004445003
244	0.1002729226
245	0.1000245127
246	0.0998316452
247	0.0995965475
248	0.09938867847
249	0.09902715268
250	0.09876829235
251	0.09874714613
252	0.09825755363
253	0.09822264818
254	0.09812594644
255	0.09797012298
256	0.09792917681
257	0.09776122731
258	0.09744372267
259	0.09711929764
260	0.09695110377
261	0.09673783149
262	0.09639882096
263	0.09632021641
264	0.09605023661
265	0.09583987967
266	0.09582339972
267	0.09564738667
268	0.0954839955
269	0.09542335113
270	0.09512210651
271	0.0951052351
272	0.09471928719
273	0.09468553926
274	0.09449459514
275	0.09447209634
276	0.09423245129
277	0.09407488983
278	0.09391303279
279	0.09389395474
280	0.09356621831
281	0.09341336925
282	0.09322274038
283	0.0932047118
284	0.09319112833
285	0.09300049645
286	0.09276857845
287	0.09261981581
288	0.09249535447
289	0.0924760886
290	0.0924442464
291	0.09238683664
292	0.09228573282
293	0.09221989007
294	0.09206762138
295	0.09189866027
296	0.09169569977
297	0.09167482839
298	0.09164722208
299	0.09146498982
300	0.09127813619
301	0.09117678239
302	0.09101250871
303	0.09086237535
304	0.09058752845
305	0.09034805402
306	0.09020622501
307	0.09003461379
308	0.08976341965
309	0.08953847946
310	0.08949011953
311	0.08938686613
312	0.08916964914
313	0.08896038729
314	0.08874168993
315	0.08855390582
316	0.08847021953
317	0.08829745492
318	0.0879651636
319	0.08789386115
320	0.087663855
321	0.08756309464
322	0.08754726297
323	0.08747655007
324	0.08737976079
325	0.08695312939
326	0.08693337915
327	0.08681878174
328	0.08653872946
329	0.08632226549
330	0.08614649742
331	0.08597070403
332	0.08576812887
333	0.08575379529
334	0.08572481694
335	0.08570592109
336	0.08557789766
337	0.08547487209
338	0.08527113159
339	0.08498723791
340	0.08491935874
341	0.08481407758
342	0.08477588382
343	0.0846879283
344	0.0846739156
345	0.08452035024
346	0.08445259194
347	0.084266923
348	0.08419772796
349	0.08406891177
350	0.08386445585
351	0.08367632981
352	0.08351832947
353	0.08331155737
354	0.08323401743
355	0.08308644905
356	0.08305473452
357	0.08301039791
358	0.08274292683
359	0.08251946697
360	0.08233145728
361	0.08223518342
362	0.08205746968
363	0.08192695188
364	0.08189413718
365	0.08174550743
366	0.08163096855
367	0.08141405125
368	0.08132343546
369	0.08114495958
370	0.08108556623
371	0.08078349663
372	0.08064135945
373	0.08048749728
374	0.0803502963
375	0.08012836376
376	0.08004900859
377	0.07996539979
378	0.07992993853
379	0.07975243534
380	0.07961201273
381	0.07960004425
382	0.07939612488
383	0.07937983395
384	0.07912902572
385	0.07908494552
386	0.07899440775
387	0.07891954031
388	0.07882759842
389	0.07875793682
390	0.07866555234
391	0.07837388134
392	0.07822757595
393	0.0780445554
394	0.07784356127
395	0.07783657083
396	0.07781406155
397	0.07764391492
398	0.07761215899
399	0.07729450017
400	0.07724950833
401	0.07717961977
402	0.07708218037
403	0.07707289725
404	0.07692094578
405	0.07682553949
406	0.07665372604
407	0.07653973588
408	0.07638718347
409	0.07625751081
410	0.07619300489
411	0.07605008496
412	0.07593070203
413	0.07580237044
414	0.07557509344
415	0.07551367108
416	0.07537002034
417	0.07536321109
418	0.07531849699
419	0.07520143079
420	0.07519500769
421	0.07513389461
422	0.07496227655
423	0.07482899328
424	0.07468726246
425	0.07459634031
426	0.07455111216
427	0.0745028621
428	0.07428777986
429	0.07421786465
430	0.07419778173
431	0.07406715772
432	0.07405918724
433	0.07400979688
434	0.07392987849
435	0.0738837234
436	0.07373296745
437	0.07372236862
438	0.07366428667
439	0.07365338351
440	0.07336251111
441	0.07324001821
442	0.07322179925
443	0.07301561444
444	0.07300041232
445	0.07282325456
446	0.07280108044
447	0.07279314796
448	0.0727381812
449	0.07252683962
450	0.07239230458
451	0.07225668868
452	0.07221319573
453	0.07213709735
454	0.07191591166
455	0.07177831737
456	0.07161803057
457	0.07155050563
458	0.07145196224
459	0.07141451384
460	0.07128924881
461	0.0712686321
462	0.07119755093
463	0.07115650241
464	0.0710187351
465	0.07091371297
466	0.07081025744
467	0.07068725261
468	0.07064526379
469	0.07048604095
470	0.07037821052
471	0.07027726108
472	0.07007235775
473	0.07006530996
474	0.06993334189
475	0.06979813363
476	0.06959907425
477	0.06959202077
478	0.06929643523
479	0.06916056862
480	0.06906866999
481	0.0689607652
482	0.06876851762
483	0.06875792072
484	0.06871304857
485	0.06862457207
486	0.06858423851
487	0.06845473387
488	0.06833306286
489	0.06832709855
490	0.06825440849
491	0.06805270758
492	0.06799775763
493	0.06790508374
494	0.06765640773
495	0.06758737645
496	0.06754160198
497	0.06741194724
498	0.06715994145
499	0.06697477014
500	0.06696314347
501	0.06684488513
502	0.06683797156
503	0.06665034515
504	0.06649022827
505	0.06642165414
506	0.06641679402
507	0.06631020407
508	0.06623791254
509	0.06606025654
510	0.06601271947
511	0.06600308637
512	0.06589186036
513	0.06558693056
514	0.065470686
515	0.06530829315
516	0.06521548037
517	0.06510970028
518	0.06503118765
519	0.0649914597
520	0.06479602361
521	0.06471159156
522	0.064617153
523	0.06451675158
524	0.06443654138
525	0.06436693394
526	0.0642658596
527	0.06426023735
528	0.06424472196
529	0.06415404751
530	0.06408249121
531	0.06403256685
532	0.06402409143
533	0.06385029601
534	0.06379202743
535	0.0636608458
536	0.06359775597
537	0.06357338758
538	0.06341401744
539	0.06331496089
540	0.06311555727
541	0.06303878277
542	0.06300900215
543	0.06296276799
544	0.06278064116
545	0.06267212512
546	0.06258093792
547	0.06257513866
548	0.06246756841
549	0.06234414558
550	0.06228472572
551	0.06227839785
552	0.06207158897
553	0.06200300895
554	0.06190962072
555	0.06180738193
556	0.06177219928
557	0.06168324839
558	0.06164037153
559	0.06161097888
560	0.06158069577
561	0.06149516194
562	0.06145576527
563	0.06135611442
564	0.06113426908
565	0.06101930054
566	0.06078850312
567	0.06064112768
568	0.06056584501
569	0.06055774413
570	0.06047912426
571	0.06047136227
572	0.06025294194
573	0.0602040879
574	0.06018217822
575	0.06017722865
576	0.06015593253
577	0.06015143245
578	0.06012009308
579	0.05998930774
580	0.0599829978
581	0.05981273504
582	0.05974829879
583	0.05967535799
584	0.05957339923
585	0.05956716936
586	0.05947224958
587	0.05943631946
588	0.05925834789
589	0.05920655292
590	0.05919880683
591	0.05910188334
592	0.05908429751
593	0.0590660405
594	0.05905928575
595	0.05883434992
596	0.05878653043
597	0.05874421286
598	0.05867772521
599	0.05853429417
600	0.05853020689
601	0.05832699218
602	0.058205333
603	0.05813007664
604	0.05809575345
605	0.05804378212
606	0.05789242472
607	0.05778751001
608	0.05760999915
609	0.05752948209
610	0.05742564502
611	0.05741715603
612	0.05729608694
613	0.05722029181
614	0.05714463668
615	0.05706469266
616	0.05703578693
617	0.05702895817
618	0.05689376679
619	0.05685654314
620	0.05670239777
621	0.0565887266
622	0.05656497009
623	0.0563983514
624	0.05638053007
625	0.05626030609
626	0.05624562511
627	0.05617138157
628	0.0561613879
629	0.05607123331
630	0.05596221183
631	0.05578370006
632	0.05572641182
633	0.05571945084
634	0.05571383751
635	0.05569975775
636	0.05568605907
637	0.05563799011
638	0.05556178659
639	0.05544439728
640	0.055335584
641	0.05515276806
642	0.0551358414
643	0.05509436564
644	0.05502416407
645	0.0550099545
646	0.05499846519
647	0.05492210604
648	0.05491452571
649	0.05480286034
650	0.05474005512
651	0.05472213296
652	0.05471927568
653	0.05468214447
654	0.05457896351
655	0.05454596761
656	0.05453022025
657	0.05435782587
658	0.05435055306
659	0.05426214389
660	0.05417361836
661	0.0540375592
662	0.053962507
663	0.05388539052
664	0.05386346706
665	0.05384881098
666	0.05367958211
667	0.05362069569
668	0.05361437463
669	0.05345052324
670	0.05339454493
671	0.05338364684
672	0.05334748381
673	0.05328018144
674	0.05326221612
675	0.0531022784
676	0.05299305952
677	0.05293829662
678	0.05288703183
679	0.0528726305
680	0.05286763272
681	0.05281932422
682	0.0527847867
683	0.05269889129
684	0.05262497965
685	0.05261982667
686	0.05256274429
687	0.05249191873
688	0.05248653609
689	0.05242357509
690	0.05229768475
691	0.05215344785
692	0.05205338365
693	0.05189842094
694	0.05176864267
695	0.05168428575
696	0.05157061393
697	0.05148244387
698	0.05144108479
699	0.05143752779
700	0.05141254855
701	0.05133409304
702	0.05133067312
703	0.05130007147
704	0.0512506333
705	0.05115683411
706	0.0510657236
707	0.05104248959
708	0.05092974588
709	0.05092090688
710	0.0507923031
711	0.05076076917
712	0.05075502025
713	0.05063575338
714	0.0505438549
715	0.05046155759
716	0.05039577609
717	0.05039179964
718	0.05029067366
719	0.05028484705
720	0.05012034458
721	0.05011469282
722	0.05002118236
723	0.04999589328
724	0.04998556719
725	0.04995834594
726	0.04988626403
727	0.04976789894
728	0.04976284581
729	0.04975924511
730	0.04965155793
731	0.04959555184
732	0.04959105282
733	0.04946549803
734	0.04944016133
735	0.04940504727
736	0.04938961938
737	0.0493050355
738	0.04929316635
739	0.0492826003
740	0.04928018681
741	0.04927353275
742	0.04912452599
743	0.04910212253
744	0.04909877792
745	0.04905653228
746	0.04896235247
747	0.04887175958
748	0.04876261154
749	0.04871377775
750	0.04868575119
751	0.04863044408
752	0.04853187573
753	0.04847420915
754	0.04847062956
755	0.0484647024
756	0.04841459051
757	0.04834376157
758	0.04827591774
759	0.04813197124
760	0.04812452765
761	0.04811984206
762	0.04804506359
763	0.04799395586
764	0.04796855242
765	0.04781434559
766	0.04781130022
767	0.0477600735
