iter	Passed	Remaining
0	0	47
1	0	36
2	1	34
3	1	33
4	1	30
5	1	30
6	2	29
7	2	28
8	2	27
9	2	26
10	3	25
11	3	26
12	3	25
13	4	24
14	4	24
15	4	24
16	4	24
17	5	24
18	5	24
19	6	24
20	7	26
21	7	26
22	7	25
23	7	24
24	8	24
25	8	23
26	8	23
27	9	23
28	9	22
29	9	22
30	9	22
31	10	21
32	10	21
33	10	21
34	11	20
35	11	20
36	11	19
37	11	19
38	12	19
39	12	18
40	12	18
41	12	17
42	13	17
43	13	17
44	13	16
45	14	16
46	14	16
47	14	15
48	15	15
49	15	15
50	15	14
51	15	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	17	12
58	17	12
59	18	12
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	19	9
67	20	9
68	20	9
69	20	8
70	21	8
71	21	8
72	21	7
73	21	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	23	5
80	24	5
81	24	5
82	24	5
83	24	4
84	25	4
85	25	4
86	26	3
87	26	3
88	26	3
89	26	2
90	27	2
91	27	2
92	28	2
93	28	1
94	29	1
95	29	1
96	29	0
97	30	0
98	30	0
99	30	0
